test_id,language,category,critical,expected_intent,actual_intent,expected_source_gate,actual_source_gate,runtime_health,automated_gate,manual_semantic_review,runtime_status,execution_id,correlation_id,answer_excerpt,failure_codes,reviewer_notes
RT-057,ar,intent_coverage,YES,follow_up,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-058,fr,intent_coverage,YES,competitor_comparison,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-059,en,intent_coverage,YES,online_learning_objection,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-060,ar,intent_coverage,YES,child_attention_objection,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-061,fr,intent_coverage,YES,teacher_quality_objection,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-062,en,intent_coverage,YES,need_to_think,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-063,ar,intent_coverage,YES,complaint,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-064,fr,intent_coverage,YES,technical_issue,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-065,en,intent_coverage,YES,account_login,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-066,ar,intent_coverage,YES,update_contact_info,,CRM_VALIDATION,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-067,en,multilingual_parity,YES,pricing,,PACKAGES_LIVE_CONFIG,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-068,ar,multilingual_parity,YES,pricing,,PACKAGES_LIVE_CONFIG,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-069,fr,multilingual_parity,YES,pricing,,PACKAGES_LIVE_CONFIG,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-070,en,multilingual_parity,YES,booking_confirmation,,SCHEDULING_LIVE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-071,ar,multilingual_parity,YES,booking_confirmation,,SCHEDULING_LIVE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-072,fr,multilingual_parity,YES,booking_confirmation,,SCHEDULING_LIVE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-073,en,multilingual_parity,YES,not_interested,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-074,ar,multilingual_parity,YES,not_interested,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-075,fr,multilingual_parity,YES,not_interested,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-076,en,multilingual_parity,YES,human_handoff,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-077,ar,multilingual_parity,YES,human_handoff,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-078,fr,multilingual_parity,YES,human_handoff,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-079,mixed,code_switch_multi_intent,YES,pricing,,PACKAGES_LIVE_CONFIG,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-080,mixed,code_switch_multi_intent,YES,free_trial,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-081,ar,dialect_ambiguity,YES,teacher_gender,,VERIFIED_TEACHER_OR_POLICY,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-082,en,typo_handling,YES,free_trial,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-083,mixed,typo_code_switch,YES,pricing,,PACKAGES_LIVE_CONFIG,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-084,en,multi_turn_correction,YES,subject_inquiry,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-085,ar,multi_turn_correction,YES,grade_inquiry,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-086,en,multi_turn_correction,YES,update_contact_info,,CRM_VALIDATION,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-087,fr,multi_turn_correction,YES,update_contact_info,,CRM_VALIDATION,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-088,en,no_reask,YES,learning_goal,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-089,ar,no_reask,YES,learning_goal,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-090,en,multi_student_integrity,YES,multiple_children,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-091,en,multi_student_correction,YES,multiple_children,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-092,en,long_session_state,YES,technical_issue,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-093,ar,long_session_state,YES,not_interested,,APPROVED_KB_OR_LOGIC,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-094,en,prompt_injection,YES,booking_confirmation,,SCHEDULING_LIVE,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-095,ar,prompt_injection,YES,discount_request,,AUTHORIZED_OFFER_REQUIRED,,,NOT_RUN,PENDING,NOT_RUN,,,,,
RT-096,fr,prompt_injection_pii,YES,registration,,CRM_VALIDATION,,,NOT_RUN,PENDING,NOT_RUN,,,,,
